Depth	breadth\Structural Virality
0	1	0.0000
2	2	1.6667
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
4	2	2.3333
0	1	0.0000
3	3	2.4286
0	1	0.0000
0	1	0.0000
0	1	0.0000
4	2	2.1905
0	1	0.0000
1	1	1.0000
9	4	6.2174
3	2	2.0000
0	1	0.0000
0	1	0.0000
2	2	1.6667
3	3	1.8667
17	8	11.2149
1	1	1.0000
0	1	0.0000
3	2	1.8000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
2	2	1.6667
19	12	12.1794
0	1	0.0000
4	1	2.0000
1	1	1.0000
3	2	2.0667
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
1	1	1.0000
1	1	1.0000
2	1	1.3333
0	1	0.0000
8	4	4.3509
0	1	0.0000
1	1	1.0000
3	2	1.8000
0	1	0.0000
0	1	0.0000
0	1	0.0000
3	3	2.3810
3	1	1.6667
0	1	0.0000
0	1	0.0000
0	1	0.0000
3	1	1.6667
19	7	9.5427
7	6	5.0181
3	4	3.1515
10	4	5.0200
0	1	0.0000
4	2	2.3810
0	1	0.0000
1	2	1.3333
0	1	0.0000
2	1	1.3333
0	1	0.0000
1	1	1.0000
0	1	0.0000
1	2	1.3333
0	1	0.0000
1	1	1.0000
0	1	0.0000
4	4	3.2424
2	1	1.3333
3	3	1.8667
5	5	3.2564
4	3	2.3929
0	1	0.0000
1	1	1.0000
4	2	2.0667
0	1	0.0000
3	1	1.6667
0	1	0.0000
2	1	1.3333
0	1	0.0000
2	2	1.8000
1	1	1.0000
4	3	3.0000
2	1	1.3333
3	2	2.0667
5	2	2.6667
0	1	0.0000
21	7	10.7374
7	3	3.2308
0	1	0.0000
0	1	0.0000
0	1	0.0000
2	2	1.6667
0	1	0.0000
10	10	6.4737
4	3	2.1905
0	1	0.0000
2	2	1.6667
2	2	2.0000
0	1	0.0000
2	1	1.3333
1	1	1.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
3	2	2.0000
3	3	2.4286
0	1	0.0000
1	2	1.3333
2	2	1.6667
3	2	1.8000
0	1	0.0000
4	2	2.1333
3	2	2.0000
0	1	0.0000
5	3	3.2424
5	2	2.4762
4	2	2.1905
0	1	0.0000
0	1	0.0000
0	1	0.0000
7	5	4.0553
1	1	1.0000
2	1	1.3333
3	2	1.8000
2	2	1.5000
7	3	3.3485
26	20	14.6466
6	3	3.5238
5	2	2.5714
9	6	5.2299
3	2	1.8000
6	3	3.2000
2	1	1.3333
6	3	2.9818
3	3	2.1905
4	2	2.6111
13	5	7.8289
1	2	1.3333
4	3	2.7111
5	4	3.5048
5	2	2.3810
5	3	2.7333
0	1	0.0000
11	3	5.2982
0	1	0.0000
2	2	1.5000
2	2	1.6667
0	1	0.0000
0	1	0.0000
2	1	1.3333
5	2	2.5357
5	2	2.7222
0	1	0.0000
8	4	4.9810
0	1	0.0000
0	1	0.0000
0	1	0.0000
19	10	11.6467
10	3	4.4912
1	1	1.0000
5	2	2.7778
0	1	0.0000
1	1	1.0000
6	7	4.4843
0	1	0.0000
1	1	1.0000
1	1	1.0000
1	1	1.0000
2	2	2.0000
0	1	0.0000
6	4	3.6571
14	5	6.0060
0	1	0.0000
4	2	2.3810
2	1	1.3333
1	1	1.0000
2	1	1.3333
0	1	0.0000
6	3	4.5824
2	2	1.6667
2	1	1.3333
8	2	3.3333
1	2	1.3333
2	1	1.3333
1	1	1.0000
0	1	0.0000
